Time,NumberOfAccidents
2017-01-01,24
2017-01-02,190
2017-01-03,703
2017-01-04,369
2017-01-05,811
2017-01-06,790
2017-01-07,200
2017-01-08,134
2017-01-09,767
2017-01-10,899
2017-01-11,819
2017-01-12,928
2017-01-13,752
2017-01-14,118
2017-01-15,124
2017-01-16,598
2017-01-17,791
2017-01-18,425
2017-01-19,799
2017-01-20,775
2017-01-21,172
2017-01-22,133
2017-01-23,691
2017-01-24,513
2017-01-25,477
2017-01-26,504
2017-01-27,655
2017-01-28,103
2017-01-29,147
2017-01-30,674
2017-01-31,795
2017-02-01,728
2017-02-02,760
2017-02-03,706
2017-02-04,146
2017-02-05,153
2017-02-06,665
2017-02-07,936
2017-02-08,817
2017-02-09,784
2017-02-10,716
2017-02-11,130
2017-02-12,150
2017-02-13,626
2017-02-14,715
2017-02-15,610
2017-02-16,729
2017-02-17,911
2017-02-18,105
2017-02-19,130
2017-02-20,540
2017-02-21,613
2017-02-22,706
2017-02-23,659
2017-02-24,688
2017-02-25,141
2017-02-26,136
2017-02-27,570
2017-02-28,709
2017-03-01,754
2017-03-02,723
2017-03-03,699
2017-03-04,128
2017-03-05,98
2017-03-06,699
2017-03-07,650
2017-03-08,605
2017-03-09,604
2017-03-10,708
2017-03-11,116
2017-03-12,145
2017-03-13,845
2017-03-14,851
2017-03-15,658
2017-03-16,642
2017-03-17,613
2017-03-18,118
2017-03-19,127
2017-03-20,676
2017-03-21,697
2017-03-22,662
2017-03-23,621
2017-03-24,756
2017-03-25,185
2017-03-26,133
2017-03-27,613
2017-03-28,636
2017-03-29,694
2017-03-30,574
2017-03-31,601
2017-04-01,148
2017-04-02,112
2017-04-03,600
2017-04-04,654
2017-04-05,703
2017-04-06,644
2017-04-07,705
2017-04-08,126
2017-04-09,98
2017-04-10,546
2017-04-11,574
2017-04-12,645
2017-04-13,660
2017-04-14,546
2017-04-15,120
2017-04-16,112
2017-04-17,619
2017-04-18,630
2017-04-19,633
2017-04-20,608
2017-04-21,656
2017-04-22,115
2017-04-23,102
2017-04-24,617
2017-04-25,559
2017-04-26,584
2017-04-27,574
2017-04-28,602
2017-04-29,129
2017-04-30,124
2017-05-01,608
2017-05-02,610
2017-05-03,544
2017-05-04,597
2017-05-05,698
2017-05-06,116
2017-05-07,106
2017-05-08,600
2017-05-09,591
2017-05-10,338
2017-05-11,620
2017-05-12,679
2017-05-13,149
2017-05-14,117
2017-05-15,582
2017-05-16,594
2017-05-17,718
2017-05-18,703
2017-05-19,770
2017-05-20,142
2017-05-21,85
2017-05-22,721
2017-05-23,738
2017-05-24,673
2017-05-25,679
2017-05-26,633
2017-05-27,160
2017-05-28,135
2017-05-29,264
2017-05-30,621
2017-05-31,625
2017-06-01,581
2017-06-02,618
2017-06-03,155
2017-06-04,145
2017-06-05,571
2017-06-06,522
2017-06-07,582
2017-06-08,613
2017-06-09,690
2017-06-10,118
2017-06-11,150
2017-06-12,615
2017-06-13,598
2017-06-14,538
2017-06-15,560
2017-06-16,561
2017-06-17,152
2017-06-18,110
2017-06-19,635
2017-06-20,615
2017-06-21,613
2017-06-22,576
2017-06-23,601
2017-06-24,116
2017-06-25,113
2017-06-26,455
2017-06-27,579
2017-06-28,573
2017-06-29,521
2017-06-30,591
2017-07-01,151
2017-07-02,86
2017-07-03,529
2017-07-04,227
2017-07-05,599
2017-07-06,549
2017-07-07,594
2017-07-08,128
2017-07-09,166
2017-07-10,617
2017-07-11,576
2017-07-12,590
2017-07-13,553
2017-07-14,602
2017-07-15,120
2017-07-16,140
2017-07-17,565
2017-07-18,635
2017-07-19,565
2017-07-20,580
2017-07-21,613
2017-07-22,113
2017-07-23,93
2017-07-24,578
2017-07-25,551
2017-07-26,595
2017-07-27,556
2017-07-28,621
2017-07-29,100
2017-07-30,142
2017-07-31,529
2017-08-01,546
2017-08-02,586
2017-08-03,556
2017-08-04,579
2017-08-05,115
2017-08-06,74
2017-08-07,557
2017-08-08,541
2017-08-09,492
2017-08-10,586
2017-08-11,520
2017-08-12,111
2017-08-13,136
2017-08-14,537
2017-08-15,544
2017-08-16,537
2017-08-17,550
2017-08-18,601
2017-08-19,131
2017-08-20,116
2017-08-21,481
2017-08-22,558
2017-08-23,595
2017-08-24,582
2017-08-25,503
2017-08-26,118
2017-08-27,110
2017-08-28,478
2017-08-29,486
2017-08-30,502
2017-08-31,465
2017-09-01,524
2017-09-02,117
2017-09-03,140
2017-09-04,217
2017-09-05,520
2017-09-06,495
2017-09-07,500
2017-09-08,589
2017-09-09,110
2017-09-10,97
2017-09-11,412
2017-09-12,437
2017-09-13,473
2017-09-14,424
2017-09-15,513
2017-09-16,79
2017-09-17,93
2017-09-18,491
2017-09-19,542
2017-09-20,542
2017-09-21,500
2017-09-22,488
2017-09-23,116
2017-09-24,83
2017-09-25,484
2017-09-26,484
2017-09-27,498
2017-09-28,484
2017-09-29,562
2017-09-30,135
2017-10-01,113
2017-10-02,511
2017-10-03,488
2017-10-04,527
2017-10-05,572
2017-10-06,581
2017-10-07,154
2017-10-08,102
2017-10-09,476
2017-10-10,460
2017-10-11,526
2017-10-12,565
2017-10-13,427
2017-10-14,101
2017-10-15,80
2017-10-16,487
2017-10-17,550
2017-10-18,424
2017-10-19,492
2017-10-20,514
2017-10-21,98
2017-10-22,75
2017-10-23,403
2017-10-24,448
2017-10-25,435
2017-10-26,444
2017-10-27,478
2017-10-28,131
2017-10-29,77
2017-10-30,391
2017-10-31,421
2017-11-01,431
2017-11-02,444
2017-11-03,438
2017-11-04,90
2017-11-05,94
2017-11-06,484
2017-11-07,599
2017-11-08,590
2017-11-09,554
2017-11-10,532
2017-11-11,132
2017-11-12,102
2017-11-13,450
2017-11-14,473
2017-11-15,510
2017-11-16,547
2017-11-17,426
2017-11-18,129
2017-11-19,111
2017-11-20,553
2017-11-21,679
2017-11-22,618
2017-11-23,208
2017-11-24,250
2017-11-25,87
2017-11-26,108
2017-11-27,529
2017-11-28,470
2017-11-29,549
2017-11-30,553
2017-12-01,541
2017-12-02,92
2017-12-03,145
2017-12-04,583
2017-12-05,605
2017-12-06,638
2017-12-07,537
2017-12-08,570
2017-12-09,113
2017-12-10,75
2017-12-11,532
2017-12-12,575
2017-12-13,659
2017-12-14,571
2017-12-15,662
2017-12-16,95
2017-12-17,131
2017-12-18,634
2017-12-19,685
2017-12-20,630
2017-12-21,566
2017-12-22,494
2017-12-23,161
2017-12-24,108
2017-12-25,131
2017-12-26,473
2017-12-27,475
2017-12-28,422
2017-12-29,507
2017-12-30,159
2017-12-31,135
